player_id,player_name,team,position,as_of_date,age,age_sq,age_over_30,is_big,is_guard,minutes_l7,minutes_l14,minutes_l30,minutes_spike_7v30,games_l7,games_l14,games_l30,road_games_l14,back_to_backs_l14,avg_rest_days_l14,minutes_trend_slope,season_minutes_total,games_played_season,usage_proxy,team_pace,efficiency_drop,prior_injuries_365d,days_since_last_injury,injury_prone_flag,recurrence_same_area,injured_next_14d,true_risk
1026,Tyrese Maxey,PHI,PG,2025-03-28,26,6.76,0.0,0,1,37.72,37.98,33.58,0.123,1,4,11,1,0,1.27,0.125,2490.3,72,0.686,97.86,0.113,1,26,0,1,1,0.4858
1036,Anthony Edwards,MIN,SG,2025-03-29,24,5.76,0.0,0,1,21.61,17.13,20.93,0.033,1,5,11,1,0,2.09,-0.071,1513.1,72,0.735,99.3,0.0,0,309,0,0,0,0.0502
1010,Derrick White,BOS,SG,2025-03-29,31,9.61,1.0,0,1,28.8,29.94,27.34,0.054,2,6,10,5,1,1.16,-0.276,1914.0,71,0.701,98.46,0.032,0,217,0,0,0,0.1999
1037,Domantas Sabonis,SAC,C,2025-03-29,31,9.61,1.0,1,0,36.93,35.65,29.68,0.244,2,5,10,0,3,0.8,1.062,2231.5,72,0.705,101.39,0.137,0,368,0,0,0,0.7498
1012,Draymond Green,GSW,PF,2025-03-29,36,12.96,6.0,1,0,27.52,28.0,26.81,0.027,1,5,10,1,0,2.47,-0.039,1893.5,71,0.992,103.27,0.009,0,388,0,0,0,0.1493
1017,Giannis Antetokounmpo,MIL,PF,2025-03-29,31,9.61,1.0,1,0,26.78,26.27,28.46,-0.059,2,6,15,5,0,1.96,-0.126,1897.8,72,0.77,101.15,0.0,0,199,0,0,0,0.1983
1006,Jayson Tatum,BOS,SF,2025-03-29,27,7.29,0.0,0,0,35.19,33.44,34.2,0.029,2,5,10,4,1,1.44,-0.14,2614.7,72,0.529,98.46,0.039,0,363,0,0,0,0.1908
1000,LeBron James,LAL,SF,2025-03-29,41,16.81,11.0,0,0,26.88,27.77,25.58,0.051,1,3,10,3,3,1.03,0.019,1803.2,72,0.84,98.26,0.0,0,353,0,0,1,0.4826
1004,Rui Hachimura,LAL,PF,2025-03-29,27,7.29,0.0,1,0,35.97,32.98,32.0,0.124,2,4,11,2,1,1.42,-0.794,2397.5,72,0.562,100.56,0.0,1,55,0,0,1,0.5836
1042,Victor Wembanyama,SAS,C,2025-03-29,21,4.41,0.0,1,0,23.28,19.93,28.16,-0.173,1,3,12,1,0,1.84,-0.154,1682.6,72,0.675,100.29,0.032,0,175,0,0,0,0.1115
1022,Aaron Gordon,DEN,PF,2025-03-30,29,8.41,0.0,1,0,37.59,35.74,33.53,0.121,2,5,13,4,0,1.3,-0.01,2448.4,72,0.536,97.98,0.051,1,76,0,0,1,0.5009
1001,Anthony Davis,LAL,PF,2025-03-30,33,10.89,3.0,1,0,31.02,33.36,33.14,-0.064,1,4,10,4,0,1.84,-0.186,2304.9,72,0.675,100.26,0.022,0,178,1,0,1,0.2888
1018,Damian Lillard,MIL,PG,2025-03-30,35,12.25,5.0,0,1,25.35,22.92,20.02,0.266,1,3,8,1,0,2.95,-0.457,1671.4,72,0.856,100.89,0.0,1,21,0,0,0,0.2859
1047,Jalen Brunson,NYK,PG,2025-03-30,28,7.84,0.0,0,1,28.37,29.43,26.65,0.064,3,6,10,2,1,1.82,-0.408,1810.1,72,0.936,97.76,0.035,0,154,0,0,0,0.173
1021,Jamal Murray,DEN,PG,2025-03-30,28,7.84,0.0,0,1,31.92,31.29,33.76,-0.055,3,7,11,1,0,2.26,-0.448,2401.1,72,0.931,99.17,0.0,0,320,0,0,0,0.0644
1007,Jaylen Brown,BOS,SG,2025-03-30,29,8.41,0.0,0,1,26.38,27.66,31.97,-0.175,2,4,12,0,3,1.02,0.445,1959.1,72,0.883,99.27,0.061,1,37,0,1,0,0.7264
1008,Jrue Holiday,BOS,PG,2025-03-30,37,13.69,7.0,0,1,30.18,30.01,30.33,-0.005,1,3,12,3,1,0.6,0.547,2300.6,72,0.792,100.03,0.107,0,255,0,0,0,0.2761
1044,LaMelo Ball,CHA,PG,2025-03-30,25,6.25,0.0,0,1,25.64,20.1,16.43,0.56,1,5,10,3,1,1.24,-0.292,1412.7,72,0.652,100.32,0.0,3,57,1,1,1,0.85
1030,Paul George,LAC,SF,2025-03-30,36,12.96,6.0,0,0,19.77,19.81,20.91,-0.055,2,6,11,1,1,1.75,-0.407,1517.8,72,0.833,98.3,0.042,0,238,0,0,0,0.1147
1043,Scottie Barnes,TOR,SF,2025-03-30,25,6.25,0.0,0,0,19.31,18.15,20.22,-0.045,2,4,13,0,0,1.99,0.325,1455.6,72,0.913,99.99,0.053,1,18,0,0,1,0.1939
1035,Shai Gilgeous-Alexander,OKC,PG,2025-03-30,28,7.84,0.0,0,1,24.49,24.61,24.34,0.006,1,4,9,0,2,1.29,0.348,1795.3,72,0.733,99.14,0.009,0,388,0,0,0,0.1746
1011,Stephen Curry,GSW,PG,2025-03-30,39,15.21,9.0,0,1,31.17,33.73,35.91,-0.132,1,3,10,0,1,1.5,-0.825,2357.0,72,1.024,102.57,0.0,0,336,0,0,0,0.1963
1033,Tyler Herro,MIA,SG,2025-03-30,26,6.76,0.0,0,1,29.26,32.92,28.36,0.032,1,4,9,4,0,1.52,-0.198,2100.2,72,1.016,96.36,0.064,1,36,0,0,1,0.3254
1039,Tyrese Haliburton,IND,PG,2025-03-30,27,7.29,0.0,0,1,36.42,34.05,38.0,-0.042,2,4,12,1,0,1.9,0.925,2529.5,72,0.86,103.88,0.084,1,46,0,1,0,0.5079
1028,Zion Williamson,NOP,PF,2025-03-30,26,6.76,0.0,1,0,28.21,31.58,30.44,-0.073,3,6,11,0,0,1.62,-0.234,2189.2,72,0.551,100.52,0.009,1,81,1,1,1,0.4561
